could not get driver version for /dev/input/mouse0, Not a typewriter
add device 1: /dev/input/event0
  name:     "qwerty2"
could not get driver version for /dev/input/mice, Not a typewriter
[    4335.397588] /dev/input/event0: 0000 0000 00000000
[    4335.414611] /dev/input/event0: 0003 0001 0000013d
[    4335.414647] /dev/input/event0: 0000 0000 00000000
[    4335.414689] /dev/input/event0: 0003 0001 00000141
[    4335.414705] /dev/input/event0: 0000 0000 00000000
[    4335.431499] /dev/input/event0: 0003 0001 00000143
[    4335.431530] /dev/input/event0: 0000 0000 00000000
[    4335.431567] /dev/input/event0: 0003 0001 00000146
[    4335.431582] /dev/input/event0: 0000 0000 00000000
[    4335.431601] /dev/input/event0: 0003 0001 00000148
[    4335.431614] /dev/input/event0: 0000 0000 00000000
[    4335.448449] /dev/input/event0: 0003 0001 0000014a
[    4335.448482] /dev/input/event0: 0000 0000 00000000
[    4335.448525] /dev/input/event0: 0003 0001 0000014e
[    4335.448540] /dev/input/event0: 0000 0000 00000000
[    4335.465442] /dev/input/event0: 0003 0001 00000152
[    4335.465476] /dev/input/event0: 0000 0000 00000000
[    4335.465516] /dev/input/event0: 0003 0001 00000154
[    4335.465531] /dev/input/event0: 0000 0000 00000000
[    4335.482421] /dev/input/event0: 0003 0001 00000156
[    4335.482450] /dev/input/event0: 0000 0000 00000000
[    4335.482486] /dev/input/event0: 0003 0001 0000015a
[    4335.482500] /dev/input/event0: 0000 0000 00000000
[    4335.499363] /dev/input/event0: 0003 0001 0000015e
[    4335.499393] /dev/input/event0: 0000 0000 00000000
[    4335.499436] /dev/input/event0: 0003 0001 00000161
[    4335.499450] /dev/input/event0: 0000 0000 00000000
[    4335.516369] /dev/input/event0: 0003 0000 000000e4
[    4335.516399] /dev/input/event0: 0003 0001 00000163
[    4335.516424] /dev/input/event0: 0000 0000 00000000
[    4335.516466] /dev/input/event0: 0003 0001 00000167
[    4335.516482] /dev/input/event0: 0000 0000 00000000
[    4335.533341] /dev/input/event0: 0003 0001 00000169
[    4335.533375] /dev/input/event0: 0000 0000 00000000
[    4335.533413] /dev/input/event0: 0003 0001 0000016b
[    4335.533428] /dev/input/event0: 0000 0000 00000000
[    4335.550420] /dev/input/event0: 0003 0001 0000016d
[    4335.550447] /dev/input/event0: 0000 0000 00000000
[    4335.550486] /dev/input/event0: 0003 0001 00000171
[    4335.550501] /dev/input/event0: 0000 0000 00000000
[    4335.550519] /dev/input/event0: 0003 0001 00000173
[    4335.550532] /dev/input/event0: 0000 0000 00000000
[    4335.567312] /dev/input/event0: 0003 0001 00000175
[    4335.567347] /dev/input/event0: 0000 0000 00000000
[    4335.567386] /dev/input/event0: 0003 0001 00000177
[    4335.567401] /dev/input/event0: 0000 0000 00000000
[    4335.584259] /dev/input/event0: 0003 0001 0000017a
[    4335.584289] /dev/input/event0: 0000 0000 00000000
[    4335.584328] /dev/input/event0: 0003 0001 0000017c
[    4335.584343] /dev/input/event0: 0000 0000 00000000
[    4335.601294] /dev/input/event0: 0003 0001 0000017e
[    4335.601331] /dev/input/event0: 0000 0000 00000000
[    4335.601370] /dev/input/event0: 0003 0000 000000e6
[    4335.601379] /dev/input/event0: 0003 0001 00000180
[    4335.601402] /dev/input/event0: 0000 0000 00000000
[    4335.618311] /dev/input/event0: 0003 0001 00000182
[    4335.618355] /dev/input/event0: 0000 0000 00000000
[    4335.618391] /dev/input/event0: 0003 0001 00000184
[    4335.618406] /dev/input/event0: 0000 0000 00000000
[    4335.635277] /dev/input/event0: 0003 0001 00000186
[    4335.635309] /dev/input/event0: 0000 0000 00000000
[    4335.635347] /dev/input/event0: 0003 0001 00000188
[    4335.635362] /dev/input/event0: 0000 0000 00000000
[    4335.651032] /dev/input/event0: 0003 0000 000000e8
[    4335.651065] /dev/input/event0: 0000 0000 00000000
[    4335.667350] /dev/input/event0: 0003 0001 0000018a
[    4335.667385] /dev/input/event0: 0000 0000 00000000
